Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Melvin Johnson\melvin-johnson-2,36,1134,224,536,.418,114,246,.463,110,290,.379,70,86,.814,21,75,96,78,45,2,54,47,628
2,JeQuan Lewis\jequan-lewis-1,36,1031,134,288,.465,90,182,.495,44,106,.415,96,112,.857,8,84,92,183,57,1,95,103,408
3,Korey Billbury\korey-billbury-1,36,1009,150,362,.414,108,255,.424,42,107,.393,59,90,.656,58,117,175,44,38,3,48,83,401
4,Mo Alie-Cox\mo-alie-cox-1,36,960,137,224,.612,137,224,.612,0,0,,102,137,.745,88,97,185,37,25,68,52,79,376
5,Justin Tillman\justin-tillman-1,36,593,108,179,.603,108,178,.607,0,1,.000,43,76,.566,83,136,219,8,12,17,23,54,259
6,Ahmed Hamdy Mohamed\ahmed-hamdymohamed-1,36,423,77,154,.500,77,153,.503,0,1,.000,37,71,.521,53,66,119,6,8,19,30,70,191
7,Doug Brooks\doug-brooks-1,36,579,43,148,.291,12,38,.316,31,110,.282,34,47,.723,13,76,89,48,69,5,26,98,151
8,Jordan Burgess\jordan-burgess-1,28,612,48,143,.336,28,62,.452,20,81,.247,20,39,.513,28,90,118,37,15,12,26,55,136
9,Jonathan Williams\jonathan-williams-3,32,456,48,105,.457,46,95,.484,2,10,.200,26,40,.650,5,36,41,55,24,0,30,51,124
10,Michael Gilmore\michael-gilmore-1,30,346,37,78,.474,24,45,.533,13,33,.394,9,17,.529,20,64,84,12,12,7,21,52,96
11,Gerron Scissum\gerron-scissum-1,13,29,3,9,.333,3,6,.500,0,3,.000,0,2,.000,5,3,8,1,0,1,0,5,6
12,Torey Burston\torey-burston-1,20,66,1,8,.125,1,7,.143,0,1,.000,1,2,.500,2,4,6,5,3,0,1,5,3
13,Jordan Riullano\jordan-riullano-1,8,12,0,4,.000,0,2,.000,0,2,.000,2,2,1.000,0,1,1,1,1,0,2,4,2
