Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Treveon Graham\treveon-graham-1,36,995,186,413,.450,134,271,.494,52,142,.366,120,164,.732,99,110,209,56,32,5,56,81,544
2,Juvonte Reddic\juvonte-reddic-1,36,1004,210,369,.569,209,363,.576,1,6,.167,106,150,.707,122,169,291,23,50,31,59,83,527
3,Troy Daniels\troy-daniels-1,36,947,149,357,.417,25,49,.510,124,308,.403,19,27,.704,23,89,112,23,32,3,32,76,441
4,Rob Brandenberg\rob-brandenberg-1,35,846,130,323,.402,81,184,.440,49,139,.353,56,81,.691,39,56,95,49,45,8,46,61,365
5,Melvin Johnson\melvin-johnson-2,35,606,97,234,.415,74,153,.484,23,81,.284,25,32,.781,26,27,53,35,29,0,34,47,242
6,Darius Theus\darius-theus-1,35,924,85,184,.462,70,139,.504,15,45,.333,54,81,.667,13,44,57,169,85,10,65,91,239
7,Briante Weber\briante-weber-1,36,751,67,159,.421,58,119,.487,9,40,.225,51,65,.785,28,74,102,98,98,9,41,82,194
8,Jarred Guest\jarred-guest-1,35,366,33,70,.471,33,67,.493,0,3,.000,9,19,.474,45,43,88,8,17,9,22,79,75
9,DJ Haley\dj-haley-1,29,233,24,42,.571,24,42,.571,0,0,,6,15,.400,19,37,56,0,6,18,14,42,54
10,Teddy Okereafor\teddy-okereafor-1,32,266,13,39,.333,8,19,.421,5,20,.250,11,16,.688,7,24,31,50,20,0,27,13,42
11,Justin Tuoyo\justin-tuoyo-1,26,188,8,34,.235,5,18,.278,3,16,.188,10,16,.625,16,21,37,7,5,11,9,38,29
12,David Hinton\david-hinton-1,25,126,8,19,.421,8,19,.421,0,0,,2,3,.667,10,14,24,3,3,5,5,15,18
