Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jamie Skeen\jamie-skeen-1,39,1245,198,382,.518,162,296,.547,36,86,.419,179,249,.719,93,193,286,62,23,40,66,77,611
2,Bradford Burgess\bradford-burgess-1,40,1380,193,396,.487,121,230,.526,72,166,.434,113,150,.753,85,166,251,66,43,30,61,86,571
3,Joey Rodriguez\joey-rodriguez-1,40,1343,126,366,.344,57,161,.354,69,205,.337,93,114,.816,25,102,127,208,61,2,91,88,414
4,Brandon Rozzell\brandon-rozzell-1,32,808,120,292,.411,42,96,.438,78,196,.398,49,62,.790,14,63,77,45,43,1,28,55,367
5,Ed Nixon\ed-nixon-1,40,998,101,243,.416,70,150,.467,31,93,.333,46,62,.742,40,62,102,77,46,15,59,105,279
6,Rob Brandenberg\rob-brandenberg-1,39,535,67,164,.409,36,75,.480,31,89,.348,28,44,.636,25,42,67,22,28,9,21,44,193
7,Juvonte Reddic\juvonte-reddic-1,36,402,50,108,.463,50,108,.463,0,0,,26,40,.650,33,37,70,10,16,7,32,63,126
8,Darius Theus\darius-theus-1,40,614,38,109,.349,34,81,.420,4,28,.143,41,62,.661,13,50,63,84,41,9,55,92,121
9,Toby Veal\toby-veal-1,30,299,34,68,.500,34,68,.500,0,0,,6,18,.333,31,34,65,5,12,8,11,48,74
10,Troy Daniels\troy-daniels-1,27,126,18,59,.305,0,5,.000,18,54,.333,1,3,.333,5,16,21,1,5,0,4,17,55
11,DJ Haley\dj-haley-1,37,283,18,33,.545,18,33,.545,0,0,,5,12,.417,16,41,57,2,8,16,10,52,41
12,David Hinton\david-hinton-1,19,67,5,8,.625,5,8,.625,0,0,,2,8,.250,0,3,3,1,2,3,2,8,12
