Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Bradford Burgess\bradford-burgess-1,36,1164,142,389,.365,61,168,.363,81,221,.367,119,150,.793,42,138,180,56,39,11,45,81,484
2,Juvonte Reddic\juvonte-reddic-1,36,981,149,290,.514,149,287,.519,0,3,.000,74,116,.638,105,134,239,19,47,44,58,94,372
3,Troy Daniels\troy-daniels-1,36,879,112,299,.375,18,52,.346,94,247,.381,43,51,.843,32,87,119,18,42,2,35,59,361
4,Rob Brandenberg\rob-brandenberg-1,36,930,109,308,.354,68,168,.405,41,140,.293,66,101,.653,31,66,97,66,43,21,51,61,325
5,Darius Theus\darius-theus-1,36,1124,119,263,.452,104,201,.517,15,62,.242,53,81,.654,22,58,80,168,70,8,81,90,306
6,Treveon Graham\treveon-graham-1,36,604,75,193,.389,49,110,.445,26,83,.313,76,120,.633,52,64,116,20,27,9,34,68,252
7,Briante Weber\briante-weber-1,36,675,60,145,.414,51,109,.468,9,36,.250,48,64,.750,27,79,106,59,77,8,46,71,177
8,DJ Haley\dj-haley-1,36,553,51,102,.500,51,102,.500,0,0,,13,34,.382,66,76,142,8,18,22,28,79,115
9,Teddy Okereafor\teddy-okereafor-1,26,145,7,19,.368,7,15,.467,0,4,.000,7,10,.700,2,8,10,18,9,0,14,8,21
10,Jarred Guest\jarred-guest-1,20,81,6,17,.353,6,15,.400,0,2,.000,6,6,1.000,3,8,11,1,3,3,5,13,18
11,Heath Houston\heath-houston-1,10,38,3,5,.600,3,5,.600,0,0,,0,0,,5,1,6,0,1,2,3,10,6
12,Reco McCarter\reco-mccarter-1,10,15,2,5,.400,1,3,.333,1,2,.500,1,4,.250,0,2,2,0,2,0,1,1,6
13,David Hinton\david-hinton-1,22,61,2,5,.400,2,5,.400,0,0,,1,3,.333,1,6,7,0,1,1,1,11,5
