Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Treveon Graham\treveon-graham-1,35,989,185,423,.437,127,251,.506,58,172,.337,125,180,.694,69,176,245,70,32,6,63,83,553
2,Juvonte Reddic\juvonte-reddic-1,35,975,165,324,.509,162,315,.514,3,9,.333,80,146,.548,126,168,294,24,47,41,61,81,413
3,Melvin Johnson\melvin-johnson-2,33,739,123,305,.403,57,138,.413,66,167,.395,30,41,.732,15,56,71,40,30,2,47,52,342
4,Rob Brandenberg\rob-brandenberg-1,35,931,117,294,.398,59,137,.431,58,157,.369,44,55,.800,23,51,74,54,43,11,30,59,336
5,Briante Weber\briante-weber-1,35,1010,114,254,.449,104,213,.488,10,41,.244,91,116,.784,34,108,142,136,121,5,65,88,329
6,JeQuan Lewis\jequan-lewis-1,35,563,64,151,.424,40,84,.476,24,67,.358,56,71,.789,12,34,46,69,38,0,62,81,208
7,Jordan Burgess\jordan-burgess-1,31,673,50,163,.307,24,85,.282,26,78,.333,27,40,.675,18,63,81,32,28,9,35,62,153
8,Mo Alie-Cox\mo-alie-cox-1,35,505,41,79,.519,40,78,.513,1,1,1.000,34,57,.596,61,65,126,11,11,48,17,63,117
9,Terrance Shannon\terrance-shannon-1,20,211,22,52,.423,22,51,.431,0,1,.000,14,33,.424,20,26,46,6,16,14,13,37,58
10,Jarred Guest\jarred-guest-1,35,318,25,70,.357,23,66,.348,2,4,.500,4,9,.444,43,37,80,8,14,11,19,49,56
11,Doug Brooks\doug-brooks-1,24,102,14,55,.255,3,16,.188,11,39,.282,6,8,.750,7,8,15,3,6,2,3,17,45
12,Jairus Lyles\jairus-lyles-1,22,58,2,20,.100,1,12,.083,1,8,.125,8,12,.667,1,4,5,5,5,0,4,9,13
13,Torey Burston\torey-burston-1,16,18,0,6,.000,0,6,.000,0,0,,1,4,.250,1,1,2,1,0,0,1,4,1
14,Emerson Burk\emerson-burk-1,12,8,0,0,,0,0,,0,0,,0,0,,1,1,2,0,0,1,0,1,0
