Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Treveon Graham\treveon-graham-1,33,970,172,402,.428,108,234,.462,64,168,.381,125,181,.691,73,162,235,53,20,9,38,67,533
2,Melvin Johnson\melvin-johnson-2,36,1003,155,385,.403,69,148,.466,86,237,.363,51,65,.785,17,53,70,65,37,3,36,56,447
3,JeQuan Lewis\jequan-lewis-1,35,761,91,245,.371,53,139,.381,38,106,.358,77,96,.802,11,47,58,95,49,0,77,88,297
4,Mo Alie-Cox\mo-alie-cox-1,36,935,101,170,.594,101,170,.594,0,0,,64,106,.604,110,95,205,28,23,68,38,77,266
5,Terry Larrier\terry-larrier-1,36,666,73,213,.343,41,91,.451,32,122,.262,61,86,.709,33,75,108,21,17,5,38,49,239
6,Jordan Burgess\jordan-burgess-1,35,779,59,162,.364,35,71,.493,24,91,.264,35,65,.538,39,113,152,27,21,17,27,63,177
7,Doug Brooks\doug-brooks-1,33,499,61,145,.421,30,69,.435,31,76,.408,18,29,.621,10,57,67,21,39,3,28,77,171
8,Briante Weber\briante-weber-1,20,529,55,137,.401,43,108,.398,12,29,.414,40,54,.741,14,59,73,85,78,4,34,39,162
9,Justin Tillman\justin-tillman-1,35,431,56,104,.538,56,103,.544,0,1,.000,15,31,.484,38,50,88,2,12,34,14,57,127
10,Jonathan Williams\jonathan-williams-3,35,361,28,80,.350,28,77,.364,0,3,.000,25,51,.490,2,18,20,46,23,1,29,41,81
11,Michael Gilmore\michael-gilmore-1,26,157,21,43,.488,16,26,.615,5,17,.294,4,16,.250,11,28,39,4,5,6,4,31,51
12,Jarred Guest\jarred-guest-1,34,240,22,47,.468,22,47,.468,0,0,,5,11,.455,26,26,52,3,15,3,12,40,49
13,Torey Burston\torey-burston-1,14,35,1,5,.200,0,1,.000,1,4,.250,4,6,.667,0,4,4,6,3,0,0,3,7
14,Antravious Simmons\antravious-simmons-1,3,9,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,2,2
